concept_id,suffix,ref_count,sample_attacker_pks
OppositeConsequences_Conflict,Conflict,5,3;697;759
Example_Inference,Inference,4,34;595;1066
Preference_Scheme,Scheme,4,70;953;1090
Sign_Inference,Inference,4,133;357;633
GeneralAcceptanceDoubt_Conflict,Conflict,3,1;177;953
PopularOpinion_Inference,Inference,3,3;70;177
InductiveInference_Scheme,Scheme,3,34;595;1087
EstablishedRule_Inference,Inference,3,70;177;340
ArbitraryVerbalClassification_Inference,Inference,3,177;799;846
ConflictingGoals_Conflict,Conflict,3,356;876;973
SignFromOtherEvents_Conflict,Conflict,3,357;846;1371
Waste_Inference,Inference,3,432;1020;1148
PropertyNotExistant_Conflict,Conflict,3,621;633;804
LackOfPTKReliability_Scheme,Scheme,2,2;888
Ignorance_Inference,Inference,2,4;750
AlternativeMeans_Conflict,Conflict,2,33;808
Bias_Inference,Inference,2,70;1023
PracticalReasoning_Inference,Inference,2,70;697
PositionToKnow_Inference,Inference,2,70;888
PresumptiveInference_Scheme,Scheme,2,70;1023
PositiveConsequences_Inference,Inference,2,300;1104
NegativeConsequences_Inference,Inference,2,322;1092
EvidenceToHypothesis_Inference,Inference,2,595;632
ExceptionSimilarityCase_Conflict,Conflict,2,614;833
PrecedentSlipperySlope_Inference,Inference,2,677;705
FullSlipperySlope_Inference,Inference,2,677;705
CausalSlipperySlope_Inference,Inference,2,677;705
Commitment_Conflict,Conflict,2,726;758
Deductive_Inference,Inference,2,726;758
OpposedCommitment_Conflict,Conflict,2,777;1297
InconsistentCommitment_Inference,Inference,2,777;1361
BiasedClassification_Conflict,Conflict,2,799;833
VagueVerbalClassification_Inference,Inference,2,800;856
Dialogue_Scheme,Scheme,2,1281;1313
CircumstantialAdHominem_Inference,Inference,2,1361;1371
PopularPractice_Inference,Inference,1,43
ExpertiseInconsistency_Conflict,Conflict,1,71
ExpertOpinion_Inference,Inference,1,71
LackOfCompleteKnowledge_Conflict,Conflict,1,133
Commitment_Inference,Inference,1,153
IrrationalFearAppeal_Conflict,Conflict,1,337
FearAppeal_Inference,Inference,1,337
ExceptionalCase_Inference,Inference,1,614
Gradualism_Inference,Inference,1,658
WeakestLink_Conflict,Conflict,1,677
Logical_Conflict,Conflict,1,696
RequiredSteps_Conflict,Conflict,1,705
CauseToEffect_Inference,Inference,1,707
OtherCausalFactorsInvolved_Conflict,Conflict,1,719
CorrelationToCause_Inference,Inference,1,719
Inference_Scheme,Scheme,1,726
ModusPonens_Inference,Inference,1,727
VerbalClassification_Inference,Inference,1,799
Dilemma_Inference,Inference,1,814
DifferencesUndermineSimilarity_Conflict,Conflict,1,839
Analogy_Inference,Inference,1,839
VerbalSlipperySlope_Inference,Inference,1,858
ResolvingInconsistency_Conflict,Conflict,1,1280
Ethotic_Inference,Inference,1,1360
DirectAdHominem_Inference,Inference,1,1398
