attacker_iri_fragment,attack_type,attacked_node_type,expected_node_type,node_type_axiom_ok
abusiveRelativism,rebut,CA-node,CA-node,1
accusationOfInconsistency,rebut,CA-node,CA-node,1
evasion,rebut,CA-node,CA-node,1
obstruction,rebut,CA-node,CA-node,1
refusingDebate,rebut,CA-node,CA-node,1
accent,undercut,RA-node,RA-node,1
anecdotalEvidence,undercut,RA-node,RA-node,1
appealToCommonPractice,undercut,RA-node,RA-node,1
appealToIgnorance,undercut,RA-node,RA-node,1
arbitraryDefinition,undercut,RA-node,RA-node,1
argumentFromAuthority,undercut,RA-node,RA-node,1
argumentOfTheBeard,undercut,RA-node,RA-node,1
associationFallacy,undercut,RA-node,RA-node,1
attributionBias,undercut,RA-node,RA-node,1
badReasonsFallacy,undercut,RA-node,RA-node,1
baitingForTruth,undercut,RA-node,RA-node,1
barbarism,undercut,RA-node,RA-node,1
blackPropaganda,undercut,RA-node,RA-node,1
blindItem,undercut,RA-node,RA-node,1
broadDefinition,undercut,RA-node,RA-node,1
commitment,undercut,RA-node,RA-node,1
conflation,undercut,RA-node,RA-node,1
conflictingConditions,undercut,RA-node,RA-node,1
covertInterrogation,undercut,RA-node,RA-node,1
damningWithFaintPraise,undercut,RA-node,RA-node,1
deceptiveInfinity,undercut,RA-node,RA-node,1
definistFallacy,undercut,RA-node,RA-node,1
dictionaryArgument,undercut,RA-node,RA-node,1
effortJustification,undercut,RA-node,RA-node,1
essentiallyContestedConcept,undercut,RA-node,RA-node,1
extendedAnalogy,undercut,RA-node,RA-node,1
failureToElucidate,undercut,RA-node,RA-node,1
fallaciousSimilarityArgument,undercut,RA-node,RA-node,1
falseAnalogy,undercut,RA-node,RA-node,1
falseImplication,undercut,RA-node,RA-node,1
falsePrecision,undercut,RA-node,RA-node,1
faultyComparison,undercut,RA-node,RA-node,1
faultyGeneralisation,undercut,RA-node,RA-node,1
faultyLogics,undercut,RA-node,RA-node,1
grayPropaganda,undercut,RA-node,RA-node,1
hastyConclusion,undercut,RA-node,RA-node,1
hastyGeneralization,undercut,RA-node,RA-node,1
havingYourCakeAndEatingItToo,undercut,RA-node,RA-node,1
heterosemy,undercut,RA-node,RA-node,1
homonym,undercut,RA-node,RA-node,1
illicitContrast,undercut,RA-node,RA-node,1
illicitTransference,undercut,RA-node,RA-node,1
incongruity,undercut,RA-node,RA-node,1
inconsistentDefinition,undercut,RA-node,RA-node,1
insinuation,undercut,RA-node,RA-node,1
interpretationFallacy,undercut,RA-node,RA-node,1
jingleJangleFallacy,undercut,RA-node,RA-node,1
ludicFallacy,undercut,RA-node,RA-node,1
mereexposureEffect,undercut,RA-node,RA-node,1
metonymy,undercut,RA-node,RA-node,1
modalLogicFallacy,undercut,RA-node,RA-node,1
modalScopeFallacy,undercut,RA-node,RA-node,1
moralisticFallacy,undercut,RA-node,RA-node,1
motteandbaileyFallacy,undercut,RA-node,RA-node,1
narrowDefinition,undercut,RA-node,RA-node,1
naturalisticFallacy,undercut,RA-node,RA-node,1
nonexclusiveClassification,undercut,RA-node,RA-node,1
overcomplicating,undercut,RA-node,RA-node,1
polysemicLexicalShift,undercut,RA-node,RA-node,1
polysemyBySemanticChange,undercut,RA-node,RA-node,1
polytely,undercut,RA-node,RA-node,1
propositionalLogicFallacy,undercut,RA-node,RA-node,1
quantificationFallacy,undercut,RA-node,RA-node,1
quantifierShift,undercut,RA-node,RA-node,1
questionableCausality,undercut,RA-node,RA-node,1
reversedCausality,undercut,RA-node,RA-node,1
secundumQuid,undercut,RA-node,RA-node,1
semanticAmbiguity,undercut,RA-node,RA-node,1
semanticSlipperySlope,undercut,RA-node,RA-node,1
slipperySlope,undercut,RA-node,RA-node,1
spuriousComposition,undercut,RA-node,RA-node,1
stolenConceptFallacy,undercut,RA-node,RA-node,1
storkEffect,undercut,RA-node,RA-node,1
strongerRequirements,undercut,RA-node,RA-node,1
sunkCostFallacy,undercut,RA-node,RA-node,1
syllogisticFallacy,undercut,RA-node,RA-node,1
syntacticAmbiguity,undercut,RA-node,RA-node,1
trivialJustification,undercut,RA-node,RA-node,1
typeTokenFallacy,undercut,RA-node,RA-node,1
undefinability,undercut,RA-node,RA-node,1
unfoundedRelationship,undercut,RA-node,RA-node,1
weakerDemands,undercut,RA-node,RA-node,1
whisperingCampaign,undercut,RA-node,RA-node,1
wrongEntailment,undercut,RA-node,RA-node,1
wrongReasoning,undercut,RA-node,RA-node,1
adHocRescue,undermine,I-node,I-node,1
adHominem,undermine,I-node,I-node,1
adPersonam,undermine,I-node,I-node,1
ambiguity,undermine,I-node,I-node,1
apophenia,undermine,I-node,I-node,1
appealToConsequences,undermine,I-node,I-node,1
appealToFear,undermine,I-node,I-node,1
beggingTheQuestion,undermine,I-node,I-node,1
biasedDefinition,undermine,I-node,I-node,1
biasedThinking,undermine,I-node,I-node,1
conditioning,undermine,I-node,I-node,1
connivance,undermine,I-node,I-node,1
culturalBias,undermine,I-node,I-node,1
distinctionWithoutADifference,undermine,I-node,I-node,1
emotionalBiases,undermine,I-node,I-node,1
erroneousCalculation,undermine,I-node,I-node,1
essentialism,undermine,I-node,I-node,1
fallaciousComparison,undermine,I-node,I-node,1
fallacyOfCorrelatives,undermine,I-node,I-node,1
falseAttribution,undermine,I-node,I-node,1
falseDilemma,undermine,I-node,I-node,1
falseEquivalence,undermine,I-node,I-node,1
foil,undermine,I-node,I-node,1
geneticFallacy,undermine,I-node,I-node,1
hollowArgument,undermine,I-node,I-node,1
humanNatureBias,undermine,I-node,I-node,1
humour,undermine,I-node,I-node,1
inconsistency,undermine,I-node,I-node,1
insufficiency,undermine,I-node,I-node,1
lackOfParsimony,undermine,I-node,I-node,1
loadedLanguage,undermine,I-node,I-node,1
lying,undermine,I-node,I-node,1
misleadingPresentationOfFacts,undermine,I-node,I-node,1
movingTheGoalposts,undermine,I-node,I-node,1
narrativeAmbiguity,undermine,I-node,I-node,1
negativityBias,undermine,I-node,I-node,1
nonverbalInfluence,undermine,I-node,I-node,1
overinterpretation,undermine,I-node,I-node,1
poetry,undermine,I-node,I-node,1
poisoningTheWell,undermine,I-node,I-node,1
powerGames,undermine,I-node,I-node,1
prejudice,undermine,I-node,I-node,1
probabilisticFallacy,undermine,I-node,I-node,1
proofByAssertion,undermine,I-node,I-node,1
pseudoexplanation,undermine,I-node,I-node,1
psychologicalManipulation,undermine,I-node,I-node,1
samplingBias,undermine,I-node,I-node,1
selectiveAttention,undermine,I-node,I-node,1
selfservingBias,undermine,I-node,I-node,1
theoreticalBiases,undermine,I-node,I-node,1
vagueDefinition,undermine,I-node,I-node,1
vagueness,undermine,I-node,I-node,1
