# #415 Phase 2 — objets vises par filter-repo — 416 objets
# perimetre : COMMANDE (globs reels)
# sha type taille_packee_octets famille chemin
b0a1e3f90a4b7660b88a94387f2bb5a8f3c7e783 blob 93615280 Downloads/*.zip DNNPlatform/Portals/1/Downloads/Argumentum_Print&Play.zip
ce0a6ac89ccea8cebca65aed8d22a72a6966d59e blob 85713638 Published/ Generation/Converters/Argumentum.AssetConverter/Published/v1.3/osx-x64.zip
d52c069540d07df9199f1564fe24b98e99a96a7a blob 82799640 Published/ Generation/Converters/Argumentum.AssetConverter/Published/v1.3/linux-x64.zip
2c7eaa610434a7879589c96fd61e8130d0e04497 blob 82798449 Published/ Generation/Converters/Argumentum.AssetConverter/Published/v1.1/linux-x64/linux-x64.zip
e335751eae2bc9d266c3209f977b5acc7710763a blob 82539063 Published/ Generation/Converters/Argumentum.AssetConverter/Published/v1.3/linux-x64.zip
1495806a9fd414a79659b9b8c1d111c236661208 blob 81571529 Published/ Generation/Converters/Argumentum.AssetConverter/Published/v1.3/linux-x64.zip
675db1e1e90df8c4e019531844d8f94a2fd0801f blob 75448256 Published/ Generation/Converters/Argumentum.AssetConverter/Published/v1.3/win-x64.zip
2b14c240db75d3f1280ab658f5480c7aac3afda6 blob 73587645 Published/ Generation/Converters/Argumentum.AssetConverter/Published/v1.2/win-x64/win-x64.zip
30d094b2442ae9437a34b4b7eaaa435e9accb469 blob 52101159 Published/ Generation/Converters/Argumentum.AssetConverter/Published/v1.3/win-x64.zip.002
35cd3add9e43c11714ba33763cc5606a1aed0812 blob 52089852 Published/ Generation/Converters/Argumentum.AssetConverter/Published/v1.3/osx-x64.zip.002
c711cb21bf90edf596363611970a18254080e7ad blob 52080308 Published/ Generation/Converters/Argumentum.AssetConverter/Published/v1.3/osx-x64.zip.003
a6754e7dcbb7336d957c8e0179fb5b06d4b7cad5 blob 52073561 Published/ Generation/Converters/Argumentum.AssetConverter/Published/v1.3/win-x64.zip.003
5551e0e2fde58c63c2890276552a6b0b09bed48d blob 52038392 Published/ Generation/Converters/Argumentum.AssetConverter/Published/v1.3/win-x64.zip.001
0ac9866afbd779477ab1e1ebb2d9658aea53628b blob 52035969 Published/ Generation/Converters/Argumentum.AssetConverter/Published/v1.3/osx-x64.zip.001
3116ec4462cd744bbf616ece8f130d110ca8ee1d blob 50357874 Downloads/*.zip DNNPlatform/Portals/1/Downloads/Argumentum_Arguments_Fallacieux_Cartes_numériques.zip
a6b3f2cbdc0cc74fbe66d64a81d9d56e94c7fbeb blob 44443519 Published/ Generation/Converters/Argumentum.AssetConverter/Published/v1/linux-x64/linux-x64.zip
fb2ee6e72983976a8fa4710489658e3518a84da0 blob 39435674 Downloads/*.zip DNNPlatform/Portals/1/Downloads/Argumentum_Arguments_Fallacieux_Cartes_numériques_Affiche_A0.zip
760208375eb37e90aa936e1ade2471582c4ade96 blob 38844901 Published/ Cartes/Generation/Converters/Argumentum.AssetConverter/Published/v1/linux-x64/linux-x64.zip
6e39008fc0f2fbb98ef2faa72dc3446f9864af08 blob 38643947 Published/ Generation/Converters/Argumentum.AssetConverter/Published/v1.3/osx-x64.zip.004
636789c5525c2033a8857c00cf85690ec4a36b82 blob 36432450 Published/ Generation/Converters/Argumentum.AssetConverter/Published/v1.3/win-x64.zip.004
c989790a7b59456f4cfc90aaadb7ae4f75ba792a blob 33627995 Published/ Cartes/Generation/Converters/Argumentum.AssetConverter/Published/v1/win-x64/win-x64.zip
747377e1c0f30f0db19061ed4d03ebdafb349cc4 blob 32417125 Published/ Cartes/Generation/Converters/Argumentum.AssetConverter/Published/v1/win-x64/Argumentum.AssetConverter.exe
ac72b65d5f0493d357f2d9e53a8f67465e333a91 blob 31107773 Published/ Generation/Converters/Argumentum.AssetConverter/Mindmapper/Published/v1/osx-x64/Mindmapper
8b16b530b7cafb1ee56e4309b223718a6c7dbd89 blob 30954637 Published/ Cartes/Generation/Converters/Argumentum.AssetConverter/Published/v1/win-x64/win-x64.zip
965a7a1c58076c502cf7918daf7a1e8465749977 blob 28319000 Published/ Cartes/Generation/Converters/Argumentum.AssetConverter/Published/v1/osx-x64/Argumentum.AssetConverter
32bd7b482fd811fc7f14c74471b6455116b5b87d blob 26055063 Published/ Cartes/Generation/Mindmap/Mindmapper/Published/v1/win-x64/Mindmapper.exe
1b82556ba92bf7ca051892c3ca16a97730a7b8cf blob 14924871 Downloads/*.zip DNNPlatform/Portals/1/Downloads/Argumentum_Arguments_Fallacieux_Cartes_numériques_légères.zip
d01cadd44ca15289ddba693920e45d8205701703 blob 14483006 ExtensionPackages/ DNNPlatform/App_Data/ExtensionPackages/Library_DotNetNuke.Telerik.Web_9.6.2.resources
127a7e1207ef88f65e20a5778c2f2a024cf9bd9d blob 11331802 ExtensionPackages/ DNNPlatform/App_Data/ExtensionPackages/Module_2SexyContent_15.2.0.resources
5ca434854a63264a521cd1480c0a7c87fcc6eed0 blob 10983258 Published/ Generation/Converters/Argumentum.AssetConverter/Published/v1.1/win-x64/win-x64.zip
86583beb2ecb093ee162cf9cf1206a53cd80a326 blob 10982675 Published/ Cartes/Generation/Converters/Argumentum.AssetConverter/Published/v1.1/win-x64/win-x64.zip
824b1a12dc56711943fc873d982515699ae8eb4b blob 10782312 Downloads/*.zip DNNPlatform/Portals/1/Downloads/Argumentum_Arguments_Fallacieux_Cartes_numériques_Planches_A4.zip
1903dd4c0562d756867f7c442c4ece198aecdcc7 blob 7549801 Published/ Generation/Converters/Argumentum.AssetConverter/Published/v1.3/win-x64.zip.004
b45e98bc40ee3ef0115d2bb9ef66ea8e92f3f9c4 blob 6418898 Downloads/*.zip DNNPlatform/Portals/1/Downloads/Argmentum_Taxonomie_Arguments_Fallacieux_MindMap.zip
9c3fcc63751a68e7d872f320a7f9125e0da4d085 blob 5997314 Published/ Generation/Converters/Argumentum.AssetConverter/Mindmapper/Published/v1/win-x64/Mindmapper.exe
8008d7eff2e278e1ba3444f252fd608be5810cb1 blob 5987198 ExtensionPackages/ DNNPlatform/App_Data/ExtensionPackages/Module_2SexyContent_11.3.0.resources
291faed7c4e94e6a108816f2385d3918be5fc653 blob 5955021 Published/ Cartes/Generation/Converters/Argumentum.AssetConverter/Published/v1/win-x64/win-x64.zip
e76fe7932abdb45bf8f95c0b660d8a02642e876a blob 5472655 Published/ Cartes/Generation/Converters/Argumentum.AssetConverter/Published/v1/win-x64/Argumentum.AssetConverter.exe
04e1b01b73f3ede86d0407a6c931704447830d27 blob 5276094 Published/ Generation/Converters/Argumentum.AssetConverter/Published/v1.3/win-x64.zip.003
8acabf1c24285a3402b404cb5cc755403bb99a12 blob 4705528 ExtensionPackages/ DNNPlatform/App_Data/ExtensionPackages/Module_2SexyContent_11.11.4.resources
a92053a65320bf3f971e29f00f513c331e7d3fd1 blob 4553421 ExtensionPackages/ DNNPlatform/App_Data/ExtensionPackages/Module_2SexyContent_13.6.0.resources
4794537111e7cffa121ca710ad92167f65a4529b blob 4024235 ExtensionPackages/ DNNPlatform/App_Data/ExtensionPackages/Module_2SexyContent_13.0.0.resources
b0484b27b1fe508043b05488d620a426a4b0a616 blob 3958001 ExtensionPackages/ DNNPlatform/App_Data/ExtensionPackages/PersonaBar_Dnn.PersonaBar.Extensions_9.10.2.resources
b2c30392daeecade260c8d5ec95ae92bed598828 blob 3876718 ExtensionPackages/ DNNPlatform/App_Data/ExtensionPackages/Module_2SexyContent_14.12.3.resources
5de06f6afff76c8ff0d30f6a2aa8dbf41b9c9471 blob 3860231 ExtensionPackages/ DNNPlatform/App_Data/ExtensionPackages/Module_2SexyContent_13.5.0.resources
6b9cc6dc4f8e5819c7cb8d37c92aeb112ba1e767 blob 3525564 ExtensionPackages/ DNNPlatform/App_Data/ExtensionPackages/PersonaBar_Dnn.PersonaBar.Extensions_9.11.1.resources
d17bbc3b7e2950225022a04ee6cb5fc6cac03505 blob 3505271 ExtensionPackages/ DNNPlatform/App_Data/ExtensionPackages/PersonaBar_Dnn.PersonaBar.Extensions_9.11.0.resources
8a4945dde49661cae59bcee679d84d19149e49a1 blob 3084072 ExtensionPackages/ DNNPlatform/App_Data/ExtensionPackages/Module_OS_ProductView_4.1.4.resources
19dcd5d87d74c42bad9aaad86fad57e6b4e4ae51 blob 2904088 ExtensionPackages/ DNNPlatform/App_Data/ExtensionPackages/Skin_nvisionative.nvQuickTheme_2.2.1.resources
734ec491376c377041f793867b126367617add5e blob 2896190 ExtensionPackages/ DNNPlatform/App_Data/ExtensionPackages/PersonaBar_Dnn.PersonaBar.Extensions_9.6.2.resources
7efb304c2f02c463fb5be78edfd2e64a218691bc blob 2886129 ExtensionPackages/ DNNPlatform/App_Data/ExtensionPackages/Skin_nvisionative.nvQuickTheme_2.2.0.resources
1c6f575daa196cde1755c8ea58aef6a4f531a530 blob 2875516 ExtensionPackages/ DNNPlatform/App_Data/ExtensionPackages/Module_OS_ProductView_4.1.11.resources
a842a37c77668198cd6ec93f1602d2804004ebe5 blob 2793986 ExtensionPackages/ DNNPlatform/App_Data/ExtensionPackages/Library_Dnn.PersonaBar.UI_9.11.1.resources
6b4497d7ada1e20be5222f91e939ac2604f4af24 blob 2776099 ExtensionPackages/ DNNPlatform/App_Data/ExtensionPackages/Provider_DNNConnect.CKEditorProvider_1.1.0.resources
9ceea772a4f35728b7d5f699aec131d74abf8745 blob 2208197 ExtensionPackages/ DNNPlatform/App_Data/ExtensionPackages/Library_DotNetNuke.MailKit_2.15.0.0.resources
c5f0f333c76bd66d391dd3150a4362894fe48d90 blob 2187647 ExtensionPackages/ DNNPlatform/App_Data/ExtensionPackages/Provider_DNNConnect.CKEditorProvider_9.10.2.resources
