# 847 Layer-(c) reference-reachability — per-reference. MEASURE not verdict. INPUT for ai-01 synthesis. GATED jsboige ratification. 0 prod CSV.
"# bucket in {wikipedia-stable, archive-repointed, dictionary-known, alive, dead, unknown, unparseable}. WMF/archive/dictionary = deterministic allowlist; long-tail = read-only HEAD probe."
pk,lang,host,url,bucket
0,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Sophisme,wikipedia-stable
0,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Fallacy,wikipedia-stable
0,ru,ru.wikipedia.org,https://ru.wikipedia.org/wiki/Софизм,wikipedia-stable
0,pt,pt.wikipedia.org,https://pt.wikipedia.org/wiki/Fal%C3%A1cia,wikipedia-stable
0,ar,ar.wikipedia.org,https://ar.wikipedia.org/wiki/%D9%85%D8%BA%D8%A7%D9%84%D8%B7%D8%A9,wikipedia-stable
0,es,es.wikipedia.org,https://es.wikipedia.org/wiki/Falacia,wikipedia-stable
0,zh,zh.wikipedia.org,https://zh.wikipedia.org/wiki/%E8%AC%AC%E8%AA%A4,wikipedia-stable
0,fa,fa.wikipedia.org,https://fa.wikipedia.org/wiki/%D9%85%D8%BA%D8%A7%D9%84%D8%B7%D9%87,wikipedia-stable
3,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Appel_%C3%A0_l%27ignorance,wikipedia-stable
3,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Argument_from_ignorance,wikipedia-stable
3,ru,ru.wikipedia.org,https://ru.wikipedia.org/wiki/Argumentum_ad_ignorantiam,wikipedia-stable
4,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Appel_%C3%A0_l%27ignorance,wikipedia-stable
4,en,philosophy.lander.edu,http://philosophy.lander.edu/logic/ignorance.html,dictionary-known
5,en,logicallyfallacious.com,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/182/Willed-Ignorance,dictionary-known
6,en,ditext.com,http://www.ditext.com/fearnside/28.html,dictionary-known
7,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Syndrome_du_vrai_croyant,wikipedia-stable
7,en,skepdic.com,http://skepdic.com/truebeliever.html,dictionary-known
8,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Tabou,wikipedia-stable
8,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Taboo,wikipedia-stable
8,ru,ru.wikipedia.org,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%B1%D1%83,wikipedia-stable
8,pt,pt.wikipedia.org,https://pt.wikipedia.org/wiki/Tabu,wikipedia-stable
