# 847 Layer-(c) §5 reference-repair worklist — GET re-probe of the 134 HEAD-dead refs.
# MEASURE not verdict. INPUT for ai-01 synthesis update. GATED jsboige ratification. 0 prod CSV.
# get_class in {alive, redirect-3xx, dead, unknown}. Reproducible from 847-layerc-reference-reachability-refs.csv (dead bucket).
pk,lang,host,url,family,subfamily,subsub,get_code,get_class,final_url
9,en,rationalwiki.org,http://rationalwiki.org/wiki/Appeal_to_mystery,Insuffisance,Argument bâclé,Argument vide,503,dead,https://rationalwiki.org/wiki/Appeal_to_mystery
10,en,rationalwiki.org,http://rationalwiki.org/wiki/Science_doesn%27t_know_everything,Insuffisance,Argument bâclé,Argument vide,503,dead,https://rationalwiki.org/wiki/Science_doesn%27t_know_everything
11,en,rationalwiki.org,http://rationalwiki.org/wiki/Argument_from_incredulity,Insuffisance,Argument bâclé,Argument vide,503,dead,https://rationalwiki.org/wiki/Argument_from_incredulity
16,en,rationalwiki.org,http://rationalwiki.org/wiki/Appeal_to_omniscience,Insuffisance,Argument bâclé,Argument vide,503,dead,https://rationalwiki.org/wiki/Appeal_to_omniscience
18,en,rationalwiki.org,http://rationalwiki.org/wiki/Holmesian_fallacy,Insuffisance,Argument bâclé,Argument vide,503,dead,https://rationalwiki.org/wiki/Holmesian_fallacy
34,en,rationalwiki.org,http://rationalwiki.org/wiki/Anecdotal_evidence,Insuffisance,Argument bâclé,Justification triviale,503,dead,https://rationalwiki.org/wiki/Anecdotal_evidence
37,en,rationalwiki.org,http://rationalwiki.org/wiki/Pragmatic_fallacy,Insuffisance,Argument bâclé,Justification triviale,503,dead,https://rationalwiki.org/wiki/Pragmatic_fallacy
38,en,rationalwiki.org,http://rationalwiki.org/wiki/Stopped_clock,Insuffisance,Argument bâclé,Justification triviale,503,dead,https://rationalwiki.org/wiki/Stopped_clock
40,fr,rationalwiki.org,http://rationalwiki.org/wiki/Argument_de_l'ami,Insuffisance,Argument bâclé,Justification triviale,503,dead,https://rationalwiki.org/wiki/Argument_de_l'ami
40,en,rationalwiki.org,https://rationalwiki.org/wiki/Friend_argument,Insuffisance,Argument bâclé,Justification triviale,503,dead,https://rationalwiki.org/wiki/Friend_argument
42,en,rationalwiki.org,http://rationalwiki.org/wiki/Generalization_from_fictional_evidence,Insuffisance,Argument bâclé,Justification triviale,503,dead,https://rationalwiki.org/wiki/Generalization_from_fictional_evidence
43,fr,autopsia.fr,http://autopsia.fr/sophismes-arguments-autorite,Insuffisance,Argument bâclé,Justification triviale,404,dead,http://autopsia.fr/sophismes-arguments-autorite
45,en,rationalwiki.org,http://rationalwiki.org/wiki/Silent_Majority,Insuffisance,Argument bâclé,Justification triviale,503,dead,https://rationalwiki.org/wiki/Silent_Majority
56,en,rationalwiki.org,http://rationalwiki.org/wiki/Golden_hammer,Insuffisance,Argument bâclé,Sauvetage ad hoc,503,dead,https://rationalwiki.org/wiki/Golden_hammer
57,en,rationalwiki.org,http://rationalwiki.org/wiki/Fractal_wrongness,Insuffisance,Argument bâclé,Sauvetage ad hoc,503,dead,https://rationalwiki.org/wiki/Fractal_wrongness
59,en,rationalwiki.org,http://rationalwiki.org/wiki/Didit_fallacy,Insuffisance,Argument bâclé,Sauvetage ad hoc,503,dead,https://rationalwiki.org/wiki/Didit_fallacy
60,en,rationalwiki.org,http://rationalwiki.org/wiki/God_of_the_gaps,Insuffisance,Argument bâclé,Sauvetage ad hoc,503,dead,https://rationalwiki.org/wiki/God_of_the_gaps
68,en,rationalwiki.org,http://rationalwiki.org/wiki/Argumentum_ex_culo,Insuffisance,Argument bâclé,Sauvetage ad hoc,503,dead,https://rationalwiki.org/wiki/Argumentum_ex_culo
75,en,rationalwiki.org,http://rationalwiki.org/wiki/Appeal_to_confidence,Insuffisance,Préjugé,Argument d'autorité,503,dead,https://rationalwiki.org/wiki/Appeal_to_confidence
76,en,rationalwiki.org,http://rationalwiki.org/wiki/Invincible_authority,Insuffisance,Préjugé,Argument d'autorité,503,dead,https://rationalwiki.org/wiki/Invincible_authority
84,en,rationalwiki.org,http://rationalwiki.org/wiki/Ultracrepidarianism,Insuffisance,Préjugé,Argument d'autorité,503,dead,https://rationalwiki.org/wiki/Ultracrepidarianism
87,en,climatechangecommunication.org,https://www.climatechangecommunication.org/wp-content/uploads/2020/11/Cook_2020_deconstructing_denial.pdf,Insuffisance,Préjugé,Argument d'autorité,404,dead,https://climatecommunication.gmu.edu/wp-content/uploads/2020/11/Cook_2020_deconstructing_denial.pdf
88,en,rationalwiki.org,http://rationalwiki.org/wiki/Professor_of_nothing,Insuffisance,Préjugé,Argument d'autorité,503,dead,https://rationalwiki.org/wiki/Professor_of_nothing
89,en,climatechangecommunication.org,https://www.climatechangecommunication.org/wp-content/uploads/2020/11/Cook_2020_deconstructing_denial.pdf,Insuffisance,Préjugé,Argument d'autorité,404,dead,https://climatecommunication.gmu.edu/wp-content/uploads/2020/11/Cook_2020_deconstructing_denial.pdf
90,en,climatechangecommunication.org,https://www.climatechangecommunication.org/wp-content/uploads/2020/11/Cook_2020_deconstructing_denial.pdf,Insuffisance,Préjugé,Argument d'autorité,404,dead,https://climatecommunication.gmu.edu/wp-content/uploads/2020/11/Cook_2020_deconstructing_denial.pdf
92,en,rationalwiki.org,http://rationalwiki.org/wiki/Fox_News#Disguised_opinion,Insuffisance,Préjugé,Argument d'autorité,503,dead,https://rationalwiki.org/wiki/Fox_News
